"Cruise","Station","Integrated_Prod.mean","In_situ_Integrated_Prod.mean","Integrated_Prod_at_10C.mean","Integrated_Prod.sd","In_situ_Integrated_Prod.sd","Integrated_Prod_at_10C.sd","Integrated_Prod.length","In_situ_Integrated_Prod.length","Integrated_Prod_at_10C.length"
"OR1_1219","GS1",-0.00150787175750004,-0.00083593583465723,-0.000565337425573738,0.000603377105608876,0.000331399993260636,0.000224123444955491,7,7,7
"OR1_1219","S3",-0.00374846668760913,-0.00403549896899562,-0.00134928838777886,0.00331332028616433,0.00346951541264395,0.00116004907781339,9,9,9
"OR1_1219","S4",-0.00190048768690478,-0.00191717955005214,-0.000677000493099415,0.00121203419139207,0.00122196945051788,0.000431505708753533,8,8,8
"OR1_1219","S5",-0.0038587549312217,-0.00390340405017476,-0.00140596707248735,0.00204732828195196,0.0020668766718693,0.000744468291313676,9,9,9
"OR1_1219","S6",-0.00137722119007588,-0.00176937561430645,-0.000630628384314967,0.000746639794895926,0.000895805257643142,0.000319276595495401,9,9,9
"OR1_1219","S7",-0.00173256217120549,-0.00195476965068323,-0.000695874289848752,0.00141158539670625,0.00159609352162424,0.000568189937624753,9,9,9
"OR1_1242","GC1",-0.00161087607488015,-0.00106183578949391,-0.000636824321185875,0.00132979341920022,0.000873339509762572,0.000523775753249412,9,9,9
"OR1_1242","GS1",-0.0021438062241517,-0.000990542510200448,-0.000778757359034797,0.00338680666117689,0.00150986809128007,0.00118704737570348,9,9,9
"OR1_1242","S1",-0.00112275102292464,-0.00103031704350842,-0.000380579566706459,0.00103521361926323,0.000932103004066562,0.000344301164043145,8,8,8
"OR1_1242","S2",-0.00208668221541985,-0.00292889314624566,-0.000842283160126763,0.00108544913049734,0.00151819016639937,0.000436597017090695,9,9,9
"OR1_1242","S3",-0.00209452392571136,-0.0026961716808402,-0.00076664062986247,0.00103110390542175,0.00132728641371698,0.000377406119740412,9,9,9
"OR1_1242","S5",-0.000907385132623189,-0.00104931600545656,-0.000406290222082478,0.000623507494522072,0.000725435269195542,0.000280885124305025,7,7,7
"OR1_1242","S6",-0.00179333944535835,-0.00231920166963269,-0.000689788800570605,0.00107474278643729,0.00137904813979374,0.00041016353805407,8,8,8
"OR1_1242","S7",-0.00094920591754246,-0.00141820483891749,-0.000412786947262213,0.000734427900017001,0.00111753301599162,0.000325272506112745,9,9,9
